DOI,Title,Matched Columns,Matched keywards
10.1109/MERCon55799.2022.9906216,Enhanced Time Delay Neural Network Architectures for Sinhala Speech Recognition,"Document Title, Abstract, Abstract, Author Keywords","neural network, neural network, cnn, cnn"
10.1109/MERCon55799.2022.9906230,Low Resource Multi-ASR Speech Command Recognition,"Abstract, Abstract, IEEE Terms","transfer learning, cnn, transfer learning"
10.1109/MERCon55799.2022.9906175,Enhanced Feature Aggregation for Deep Neural Network Based Speaker Embedding,"Document Title, Document Title, Abstract, Abstract, Abstract, IEEE Terms","neural network, deep neural network, neural network, deep neural network, pooling layer, deep learning"
10.1109/MERCon55799.2022.9906285,MetaGraph: Plasmid/Chromosome Classification Enhancement Using Graph Neural Networks,Abstract,neural network
10.1109/MERCon55799.2022.9906186,Forecasting Model of Combining Mini Batch K Means and Kohonen Maps to Cluster and Evaluate Gait Kinematics Data,"Author Keywords, Author Keywords","artificial neural network, neural network"
10.1109/MERCon55799.2022.9906263,Chest X-Ray Caption Generation with CheXNet,Abstract,transformer
10.1109/MERCon55799.2022.9906232,A Deep Learning Ensemble Hate Speech Detection Approach for Sinhala Tweets,"Document Title, Abstract, Author Keywords, IEEE Terms","deep learning, deep learning, deep learning, deep learning"
10.1109/MERCon55799.2022.9906184,Smart Traffic Light Control System Based on Traffic Density and Emergency Vehicle Detection,"Abstract, Abstract","neural network, convolutional neural network"
10.1109/MERCon55799.2022.9906227,Shadow Removal for Documents with Reflective Textured Surface,Abstract,deep learning
10.1109/MERCon55799.2022.9906220,Segmentation Based Approach For Off-line Handwritten Sinhala Word Recognition From Touch Screen Gestures,"Abstract, Abstract","neural network, cnn"
10.1109/MERCon55799.2022.9906204,Deep Learning for Arbitrary-Shaped Water Pooling Region Detection on Aerial Images,"Document Title, Abstract, Abstract, Abstract, IEEE Terms","deep learning, neural network, convolutional neural network, deep learning, deep learning"
10.1109/MERCon60487.2023.10355519,Development of AI-Based Optimum Energy Resource Management System for Prosumers with Solar Rooftops,Abstract,long short-term memory
10.1109/MERCon60487.2023.10355397,Beyond the Run-rate: Forecasting Framework for First Innings Score in T20 Cricket,"Abstract, Abstract, Author Keywords, Author Keywords","neural network, deep neural network, neural network, deep learning"
10.1109/MERCon60487.2023.10355509,Integration of Low-Cost Sensing Systems for Autonomous Vessel Detection: Leveraging Acoustic and Vision Information,Abstract,neural network
10.1109/MERCon60487.2023.10355465,Coordination of PV Smart Inverters for Grid Voltage Regulation,IEEE Terms,deep learning
10.1109/MERCon60487.2023.10355503,Exploring Asymmetrical White Matter Abnormalities in Alzheimer’s using Deep Learning,"Document Title, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, IEEE Terms","deep learning, neural network, convolutional neural network, cnn, neural network, convolutional neural network, deep learning"
10.1109/MERCon60487.2023.10355402,Speech Command Recognition Using Self-Supervised ASR in Tamil,"Abstract, Abstract, IEEE Terms, IEEE Terms","transfer learning, supervised learning, transfer learning, supervised learning"
10.1109/MERCon60487.2023.10355515,ChessEye: An Integrated Framework for Accurate and Efficient Chessboard Reconstruction,Author Keywords,transfer learning
10.1109/MERCon60487.2023.10355423,Optimizing Marx Impulse Generator Settings for Lightning Impulse Testing of Transformers: An Automated Approach for Enhanced Efficiency and Accuracy,Abstract,transformer
10.1109/MERCon60487.2023.10355529,Prediction of Geotechnical Properties of Rice Husk Ash-Stabilized Soil Systems,"Abstract, Abstract, Abstract, Author Keywords, Author Keywords","artificial neural network, neural network, ann, artificial neural network, neural network"
